,Name,Symbol
283,AIB Acquisition Corporation Unit,AIBBU
284,Arlington Asset Investment Corp 6.750% Notes due 2025,AIC
285,Apollo Tactical Income Fund Inc. Common Stock,AIF
286,American International Group Inc. New Common Stock,AIG
287,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,AIG^A
288,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,AIH
289,Senmiao Technology Limited Common Stock,AIHS
290,AIkido Pharma Inc. Common Stock,AIKI
291,AIM ImmunoTech Inc. Common Stock,AIM
292,Aimfinity Investment Corp. I Unit,AIMAU
293,Aimfinity Investment Corp. I Subunit,AIMBU
294,Altra Industrial Motion Corp. Common Stock,AIMC
295,Ainos Inc. Common Stock,AIMD
296,Albany International Corporation Common Stock,AIN
297,Ashford Inc. (Holding Company) Common Stock,AINC
298,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,AIO
299,Arteris Inc. Common Stock,AIP
300,AAR Corp. Common Stock,AIR
301,Apartment Income REIT Corp. Common Stock,AIRC
302,Airgain Inc. Common Stock,AIRG
303,Air Industries Group Common Stock,AIRI
304,AirSculpt Technologies Inc. Common Stock,AIRS
305,Air T Inc. Common Stock,AIRT
306,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,AIRTP
307,Applied Industrial Technologies Inc. Common Stock,AIT
308,Meta Data Limited ADS,AIU
309,Apartment Investment and Management Company Common Stock,AIV
310,Assurant Inc. Common Stock,AIZ
311,Assurant Inc. 5.25% Subordinated Notes due 2061,AIZN
312,Arthur J. Gallagher & Co. Common Stock,AJG
313,Aerojet Rocketdyne Holdings Inc. Common Stock,AJRD
314,Great Ajax Corp. Common Stock,AJX
315,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,AJXA
316,a.k.a. Brands Holding Corp. Common Stock,AKA
317,Akamai Technologies Inc. Common Stock,AKAM
318,Akanda Corp. Common Shares,AKAN
319,Akebia Therapeutics Inc. Common Stock,AKBA
320,Sports Ventures Acquisition Corp. Class A Ordinary Shares,AKIC
321,Sports Ventures Acquisition Corp. Unit,AKICU
322,Sports Ventures Acquisition Corp. Warrant,AKICW
323,Akili Inc. Common Stock,AKLI
324,Embotelladora Andina S.A.,AKO/A
325,Embotelladora Andina S.A.,AKO/B
326,Acadia Realty Trust Common Stock,AKR
327,Akero Therapeutics Inc. Common Stock,AKRO
328,Akoustis Technologies Inc. Common Stock,AKTS
329,Akari Therapeutics plc ADS,AKTX
330,Akumin Inc. Common Shares,AKU
331,Akouos Inc. Common Stock,AKUS
332,Akoya BioSciences Inc. Common Stock,AKYA
333,Air Lease Corporation Class A Common Stock,AL
334,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,AL^A
335,Albemarle Corporation Common Stock,ALB
336,Albireo Pharma Inc. Common Stock,ALBO
337,Alcon Inc. Ordinary Shares,ALC
338,Alico Inc. Common Stock,ALCO
339,Aldeyra Therapeutics Inc. Common Stock,ALDX
340,Allete Inc.,ALE
341,Alector Inc. Common Stock,ALEC
342,Alexander & Baldwin Inc. Common Stock REIT Holding Company,ALEX
343,ALFI Inc. Common Stock,ALF
344,ALFI Inc. Warrant,ALFIW
345,Alamo Group Inc. Common Stock,ALG
346,Allegro MicroSystems Inc. Common Stock,ALGM
347,Align Technology Inc. Common Stock,ALGN
348,Aligos Therapeutics Inc. Common Stock,ALGS
349,Allegiant Travel Company Common Stock,ALGT
350,Alignment Healthcare Inc. Common Stock,ALHC
351,Alimera Sciences Inc. Common Stock,ALIM
352,Alight Inc. Class A Common Stock,ALIT
353,ALJ Regional Holdings Inc. Common Stock,ALJJ
354,Alaska Air Group Inc. Common Stock,ALK
355,Alkermes plc Ordinary Shares,ALKS
356,Alkami Technology Inc. Common Stock,ALKT
357,Allstate Corporation (The) Common Stock,ALL
358,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,ALL^B
359,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,ALL^G
360,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,ALL^H
361,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,ALL^I
362,Allegion plc Ordinary Shares,ALLE
363,Allego N.V. Ordinary Share,ALLG
364,Allakos Inc. Common Stock,ALLK
365,Allogene Therapeutics Inc. Common Stock,ALLO
366,Allarity Therapeutics Inc. Common Stock,ALLR
367,Allot Ltd. Ordinary Shares,ALLT
368,Ally Financial Inc. Common Stock,ALLY
369,Allena Pharmaceuticals Inc. Common Stock,ALNA
370,Alnylam Pharmaceuticals Inc. Common Stock,ALNY
371,ALSP Orchid Acquisition Corporation I Class A Ordinary Share,ALOR
372,AstroNova Inc. Common Stock,ALOT
373,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),ALP^Q
374,Alpha Healthcare Acquisition Corp. III Class A Common Stock,ALPA
375,Alpha Healthcare Acquisition Corp. III Units,ALPAU
376,Alpine Immune Sciences Inc. Common Stock,ALPN
377,Alpine 4 Holdings Inc. Class A Common Stock,ALPP
378,AlerisLife Inc. Common Stock,ALR
379,Alarm.com Holdings Inc. Common Stock,ALRM
380,Aileron Therapeutics Inc. Common Stock,ALRN
381,Alerus Financial Corporation Common Stock,ALRS
382,Alpha Star Acquisition Corporation Ordinary Shares,ALSA
383,Alpha Star Acquisition Corporation Rights,ALSAR
384,Alpha Star Acquisition Corporation Warrants,ALSAW
385,Allison Transmission Holdings Inc. Common Stock,ALSN
386,Altimmune Inc. Common Stock,ALT
387,Alta Equipment Group Inc. Class A Common Stock,ALTG
388,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),ALTG^A
389,Alto Ingredients Inc. Common Stock,ALTO
390,Altair Engineering Inc. Class A Common Stock,ALTR
391,Altitude Acquisition Corp. Class A Common Stock,ALTU
392,Altitude Acquisition Corp. Unit,ALTUU
393,Altitude Acquisition Corp. Warrant,ALTUW
394,Autoliv Inc. Common Stock,ALV
395,Alvotech Ordinary Shares,ALVO
396,Alvotech Warrant,ALVOW
397,AlloVir Inc. Common Stock,ALVR
398,Alexander's Inc. Common Stock,ALX
399,ALX Oncology Holdings Inc. Common Stock,ALXO
400,Alithya Group inc. Class A Subordinate Voting Shares,ALYA
401,Alzamend Neuro Inc. Common Stock,ALZN
402,Antero Midstream Corporation Common Stock,AM
403,Amalgamated Financial Corp. Common Stock (DE),AMAL
404,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),AMAM
405,American Acquisition Opportunity Inc. Class A Common Stock,AMAO
406,American Acquisition Opportunity Inc. Units,AMAOU
407,American Acquisition Opportunity Inc. Warrant,AMAOW
408,Applied Materials Inc. Common Stock,AMAT
409,Ambarella Inc. Ordinary Shares,AMBA
410,Ambac Financial Group Inc. Common Stock,AMBC
411,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,AMBO
412,Ardagh Metal Packaging S.A. Ordinary Shares,AMBP
413,AMC Entertainment Holdings Inc. Class A Common Stock,AMC
414,AMCI Acquisition Corp. II Class A Common Stock,AMCI
415,AMCI Acquisition Corp. II Units,AMCIU
416,AMCI Acquisition Corp. II Warrant,AMCIW
417,Amcor plc Ordinary Shares,AMCR
418,AMC Networks Inc. Class A Common Stock,AMCX
419,Advanced Micro Devices Inc. Common Stock,AMD
420,AMETEK Inc.,AME
421,Amedisys Inc Common Stock,AMED
422,Apollo Medical Holdings Inc. Common Stock,AMEH
423,Affiliated Managers Group Inc. Common Stock,AMG
424,Amgen Inc. Common Stock,AMGN
425,American Homes 4 Rent Common Shares of Beneficial Interest,AMH
426,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,AMH^G
427,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,AMH^H
428,AssetMark Financial Holdings Inc. Common Stock,AMK
429,Amkor Technology Inc. Common Stock,AMKR
430,Amylyx Pharmaceuticals Inc. Common Stock,AMLX
431,AMN Healthcare Services Inc AMN Healthcare Services Inc,AMN
432,American National Bankshares Inc. Common Stock,AMNB
433,Allied Motion Technologies Inc.,AMOT
434,America Movil S.A.B. de C.V. Class A American Depositary Shares,AMOV
435,Ameriprise Financial Inc. Common Stock,AMP
436,Ampio Pharmaceuticals Inc.,AMPE
437,Amplitech Group Inc. Common Stock,AMPG
438,Amplitech Group Inc. Warrants,AMPGW
439,Amphastar Pharmaceuticals Inc. Common Stock,AMPH
440,Advanced Merger Partners Inc. Class A Common Stock,AMPI
441,Amplitude Inc. Class A Common Stock,AMPL
442,Altus Power Inc. Class A Common Stock,AMPS
443,Amplify Energy Corp. Common Stock,AMPY
444,Alpha Metallurgical Resources Inc. Common Stock,AMR
445,Ameresco Inc. Class A Common Stock,AMRC
446,A-Mark Precious Metals Inc. Common Stock,AMRK
447,Amarin Corporation plc,AMRN
448,Amyris Inc. Common Stock,AMRS
449,Amneal Pharmaceuticals Inc. Class A Common Stock,AMRX
450,American Shared Hospital Services Common Stock,AMS
451,American Superconductor Corporation Common Stock,AMSC
452,AMERISAFE Inc. Common Stock,AMSF
453,Amesite Inc. Common Stock,AMST
454,American Software Inc. Class A Common Stock,AMSWA
455,American Tower Corporation (REIT) Common Stock,AMT
456,Amerant Bancorp Inc. Class A Common Stock,AMTB
457,AMTD IDEA Group American Depositary Shares each representing one Class A Ordinary Share,AMTD
458,Applied Molecular Transport Inc. Common Stock,AMTI
459,Aemetis Inc. (DE) Common Stock,AMTX
460,American Woodmark Corporation Common Stock,AMWD
461,American Well Corporation Class A Common Stock,AMWL
462,America Movil S.A.B. de C.V. American Depository Receipt Series L,AMX
463,Amryt Pharma plc American Depositary Shares,AMYT
464,Amazon.com Inc. Common Stock,AMZN
465,AutoNation Inc. Common Stock,AN
466,AnaptysBio Inc. Common Stock,ANAB
467,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,ANAC
468,Andersons Inc. (The) Common Stock,ANDE
469,Anebulo Pharmaceuticals Inc. Common Stock,ANEB
470,Arista Networks Inc. Common Stock,ANET
471,Abercrombie & Fitch Company Common Stock,ANF
472,Anghami Inc. Ordinary Shares,ANGH
473,Angi Inc. Class A Common Stock,ANGI
474,Angion Biomedica Corp. Common Stock,ANGN
475,AngioDynamics Inc. Common Stock,ANGO
476,Anika Therapeutics Inc. Common Stock,ANIK
477,ANI Pharmaceuticals Inc.,ANIP
478,Anixa Biosciences Inc. Common Stock,ANIX
479,Annexon Inc. Common Stock,ANNX
